"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 03:44:11 UTC 2024","Fri Feb 23 03:44:19 UTC 2024","7524","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Feb 23 02:44:58 UTC 2024","Fri Feb 23 02:45:01 UTC 2024","2528","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Feb 23 03:33:57 UTC 2024","Fri Feb 23 03:38:08 UTC 2024","250928","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Feb 23 02:31:24 UTC 2024","Fri Feb 23 02:31:29 UTC 2024","5059","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Feb 23 02:19:57 UTC 2024","Fri Feb 23 02:19:57 UTC 2024","23","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Feb 23 02:29:10 UTC 2024","Fri Feb 23 02:29:19 UTC 2024","8550","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Feb 23 02:37:10 UTC 2024","Fri Feb 23 02:37:13 UTC 2024","2851","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Feb 23 02:44:22 UTC 2024","Fri Feb 23 02:44:33 UTC 2024","10622","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Feb 23 02:31:16 UTC 2024","Fri Feb 23 02:31:24 UTC 2024","7187","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"skipped","Fri Feb 23 04:20:20 UTC 2024","Fri Feb 23 04:20:20 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Feb 23 03:30:04 UTC 2024","Fri Feb 23 03:30:06 UTC 2024","1574","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Feb 23 02:44:17 UTC 2024","Fri Feb 23 02:44:22 UTC 2024","4689","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Feb 23 03:55:15 UTC 2024","Fri Feb 23 03:55:19 UTC 2024","3659","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Feb 23 03:29:53 UTC 2024","Fri Feb 23 03:30:04 UTC 2024","11088","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Feb 23 03:29:25 UTC 2024","Fri Feb 23 03:29:28 UTC 2024","2800","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Feb 23 03:15:27 UTC 2024","Fri Feb 23 03:15:27 UTC 2024","201","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Feb 23 03:42:40 UTC 2024","Fri Feb 23 03:42:41 UTC 2024","947","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Feb 23 02:38:09 UTC 2024","Fri Feb 23 02:38:14 UTC 2024","4676","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Feb 23 02:38:07 UTC 2024","Fri Feb 23 02:38:09 UTC 2024","2909","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Feb 23 03:29:38 UTC 2024","Fri Feb 23 03:29:53 UTC 2024","14774","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Feb 23 02:44:47 UTC 2024","Fri Feb 23 02:44:48 UTC 2024","1477","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Feb 23 02:33:19 UTC 2024","Fri Feb 23 02:33:20 UTC 2024","430","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Feb 23 02:23:35 UTC 2024","Fri Feb 23 02:23:40 UTC 2024","5115","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Feb 23 02:41:22 UTC 2024","Fri Feb 23 02:41:29 UTC 2024","7083","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Feb 23 03:42:22 UTC 2024","Fri Feb 23 03:42:28 UTC 2024","6187","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Feb 23 02:46:41 UTC 2024","Fri Feb 23 02:47:48 UTC 2024","67152","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Fri Feb 23 04:20:20 UTC 2024","Fri Feb 23 04:20:20 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Feb 23 02:42:24 UTC 2024","Fri Feb 23 02:42:24 UTC 2024","363","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Feb 23 03:42:41 UTC 2024","Fri Feb 23 03:42:42 UTC 2024","863","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
